plate_number,well_row,well_column,marker_symbol,mgi_gene_id,entrez_id,gene_product
52,E,8,Olfr613,MGI:3030447,259104,olfactory receptor family 51 subfamily AB member 3
52,E,10,Olfr639,MGI:3030473,259088,olfactory receptor family 51 subfamily K member 1
52,E,12,Olfr639,MGI:3030473,259088,olfactory receptor family 51 subfamily K member 1
52,E,14,Pbp2,MGI:1923650,76400,phosphatidylethanolamine binding protein 2
52,E,16,Pbp2,MGI:1923650,76400,phosphatidylethanolamine binding protein 2
52,E,18,Clec9a,MGI:2444608,232414,"C-type lectin domain family 9, member a"
52,E,20,Clec9a,MGI:2444608,232414,"C-type lectin domain family 9, member a"
52,E,22,Cpa4,MGI:1919041,71791,carboxypeptidase A4
52,E,24,Cpa4,MGI:1919041,71791,carboxypeptidase A4
52,G,2,Doxl2,MGI:3618290,243376,amine oxidase copper containing 1-like 1
52,G,4,Doxl2,MGI:3618290,243376,amine oxidase copper containing 1-like 1
52,G,6,Fabp1,MGI:95479,14080,"fatty acid binding protein 1, liver"
52,G,8,Fabp1,MGI:95479,14080,"fatty acid binding protein 1, liver"
52,G,10,Cpa5,MGI:1921899,74649,carboxypeptidase A5
52,G,12,Cpa5,MGI:1921899,74649,carboxypeptidase A5
52,G,14,Cyp2a22,MGI:3648316,233005,"cytochrome P450, family 2, subfamily a, polypeptide 22"
52,G,16,Cyp2a22,MGI:3648316,233005,"cytochrome P450, family 2, subfamily a, polypeptide 22"
52,G,18,Brsk2,MGI:1923020,75770,BR serine/threonine kinase 2
52,G,20,Brsk2,MGI:1923020,75770,BR serine/threonine kinase 2
52,G,22,Emc3,MGI:1913337,66087,ER membrane protein complex subunit 3
52,G,24,Emc3,MGI:1913337,66087,ER membrane protein complex subunit 3
52,I,2,Cyp2b10,MGI:88598,13088,"cytochrome P450, family 2, subfamily b, polypeptide 10"
52,I,4,Cyp2b10,MGI:88598,13088,"cytochrome P450, family 2, subfamily b, polypeptide 10"
52,I,6,Fam83e,MGI:1921063,73813,"family with sequence similarity 83, member E"
52,I,8,Fam83e,MGI:1921063,73813,"family with sequence similarity 83, member E"
52,I,10,OMIT,,,
52,I,12,OMIT,,,
52,I,14,C330005M16Rik,MGI:2142121,101744,"acid phosphatase 7, tartrate resistant"
52,I,16,C330005M16Rik,MGI:2142121,101744,"acid phosphatase 7, tartrate resistant"
52,I,18,Cnfn,MGI:1919633,72383,cornifelin
52,I,20,Cnfn,MGI:1919633,72383,cornifelin
52,I,22,Ceacam12,MGI:1914565,67315,CEA cell adhesion molecule 12
52,I,24,Ceacam12,MGI:1914565,67315,CEA cell adhesion molecule 12
52,K,2,Cabp5,MGI:1352746,29865,calcium binding protein 5
52,K,4,Cabp5,MGI:1352746,29865,calcium binding protein 5
52,K,6,Ccdc9,MGI:1921443,243846,coiled-coil domain containing 9
52,K,8,Ccdc9,MGI:1921443,243846,coiled-coil domain containing 9
52,K,10,Cckbr,MGI:99479,12426,cholecystokinin B receptor
52,K,12,Cckbr,MGI:99479,12426,cholecystokinin B receptor
52,K,14,Col28a1,MGI:2685312,213945,"collagen, type XXVIII, alpha 1"
52,K,16,Col28a1,MGI:2685312,213945,"collagen, type XXVIII, alpha 1"
52,K,18,Dmwd,MGI:94907,13401,dystrophia myotonica-containing WD repeat motif
52,K,20,Dmwd,MGI:94907,13401,dystrophia myotonica-containing WD repeat motif
52,K,22,Ercc1,MGI:95412,13870,"excision repair cross-complementing rodent repair deficiency, complementation group 1"
52,K,24,Ercc1,MGI:95412,13870,"excision repair cross-complementing rodent repair deficiency, complementation group 1"
52,M,2,Dnah3,MGI:2683040,381917,"dynein, axonemal, heavy chain 3"
52,M,4,Dnah3,MGI:2683040,381917,"dynein, axonemal, heavy chain 3"
52,M,6,Cd177,MGI:1916141,68891,CD177 antigen
52,M,8,Cd177,MGI:1916141,68891,CD177 antigen
52,M,10,Dnajb8,MGI:1922801,56691,DnaJ heat shock protein family (Hsp40) member B8
52,M,12,Dnajb8,MGI:1922801,56691,DnaJ heat shock protein family (Hsp40) member B8
52,M,14,Cyp2t4,MGI:2686296,384724,"cytochrome P450, family 2, subfamily t, polypeptide 4"
52,M,16,Cyp2t4,MGI:2686296,384724,"cytochrome P450, family 2, subfamily t, polypeptide 4"
52,M,18,Dnhd1,MGI:1924755,77505,dynein heavy chain domain 1
52,M,20,Dnhd1,MGI:1924755,77505,dynein heavy chain domain 1
52,M,22,Fes,MGI:95514,14159,"Fes proto-oncogene, tyrosine kinase"
52,M,24,Fes,MGI:95514,14159,"Fes proto-oncogene, tyrosine kinase"
52,O,2,Clec11a,MGI:1298219,20256,"C-type lectin domain family 11, member a"
52,O,4,Clec11a,MGI:1298219,20256,"C-type lectin domain family 11, member a"
52,O,6,D430042O09Rik,MGI:2442760,233865,katanin interacting protein
52,O,8,D430042O09Rik,MGI:2442760,233865,katanin interacting protein
52,O,10,Dok1,MGI:893587,13448,docking protein 1
52,O,12,Dok1,MGI:893587,13448,docking protein 1
52,O,14,OMIT,,,
52,O,16,OMIT,,,
52,O,18,OMIT,,,
52,O,20,OMIT,,,
52,O,22,OMIT,,,
52,O,24,OMIT,,,
52,B,1,Dydc1,MGI:1916746,69496,DPY30 domain containing 1
52,B,3,Dydc1,MGI:1916746,69496,DPY30 domain containing 1
52,B,5,Efcab5,MGI:2442440,319634,EF-hand calcium binding domain 5
52,B,7,Efcab5,MGI:2442440,319634,EF-hand calcium binding domain 5
52,B,9,Fam170b,MGI:2145650,105511,"family with sequence similarity 170, member B"
52,B,11,Fam170b,MGI:2145650,105511,"family with sequence similarity 170, member B"
52,B,13,Elmsan1,MGI:2685106,238317,mitotic deacetylase associated SANT domain protein
52,B,15,Elmsan1,MGI:2685106,238317,mitotic deacetylase associated SANT domain protein
52,B,17,Dyrk3,MGI:1330300,226419,dual-specificity tyrosine phosphorylation regulated kinase 3
52,B,19,Dyrk3,MGI:1330300,226419,dual-specificity tyrosine phosphorylation regulated kinase 3
52,B,21,Ecm2,MGI:3039578,407800,"extracellular matrix protein 2, female organ and adipocyte specific"
52,B,23,Ecm2,MGI:3039578,407800,"extracellular matrix protein 2, female organ and adipocyte specific"
52,D,1,Evx2,MGI:95462,14029,even-skipped homeobox 2
52,D,3,Evx2,MGI:95462,14029,even-skipped homeobox 2
